address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
Sloane Sq.,poi,36191,51.492259219918,-0.15655517578125,London,Sloane Square London Underground Station,4acdaa91f964a5209acc20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36191,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36191
23 E Ham Manor Way,poi,36196,51.505965,0.047979,London,London City Airport (LCY),4acdb243f964a520b7cc20e3,0,Airport,http://tour-pedia.org/api/getPlaceDetails?id=36196,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36196
Hampstead High St,poi,36205,51.556652226613,-0.17833203077316,London,Hampstead London Underground Station,4acdc287f964a520efcc20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36205,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36205
75 Tottenham Court Rd,poi,36210,51.520470111724,-0.13449132442474,London,Goodge Street London Underground Station,4acdcb0df964a5200bcd20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36210,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36210
325 Bowes Rd,poi,36216,51.616261196809,-0.13354182243347,London,Arnos Grove London Underground Station,4acdd140f964a5201ecd20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36216,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36216
Harrow Rd.,poi,36229,51.530552877724,-0.22470474243164,London,Kensal Green London Underground and London Overground Station,4acddcebf964a52050cd20e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=36229,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36229
S Lambeth Rd.,poi,36237,51.48584597674,-0.12381076812744,London,Vauxhall Railway Station (VXH),4acdeba7f964a5208bcd20e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=36237,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36237
4 Hamilton Place,poi,36243,51.50427349898,-0.15054135061057,London,Royal Aeronautical Society,4ace0000f964a520d4cd20e3,0,Convention Center,http://tour-pedia.org/api/getPlaceDetails?id=36243,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36243
Aldersgate St.,poi,36256,51.519905998293,-0.098104476928711,London,Barbican London Underground Station,4ace1423f964a52042ce20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36256,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36256
318 Kennington Park Rd.,poi,36260,51.481904056784,-0.11276543140411,London,Oval London Underground Station,4ace18a7f964a52062ce20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36260,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36260
